servername,ip,env,severity
pe-product-sales-index.stg.pe.mgh.reuter365.net,10.10.59.229,stg,
pe-product-sales-index.prd.pe.mgh.reuter365.net,10.10.59.230,prd,
pe-product-categories.stg.pe.mgh.reuter365.net,10.10.59.231,stg,
influxdb-01.prd.mon.acs.reuter365.net,10.51.30.12,prd,
pe-product-categories.prd.pe.mgh.reuter365.net,10.10.59.232,prd,
cluster01-node01.prd.es.acs.reuter365.net,10.51.30.35,prd,
cluster01-node03.prd.es.acs.reuter365.net,10.51.30.37,prd,
cluster01-node02.prd.es.acs.reuter365.net,10.51.30.36,prd,
cluster01-node02.stg.es.acs.reuter365.net,10.51.30.41,stg,
cluster01-node01.stg.es.acs.reuter365.net,10.51.30.40,stg,
cluster01-kibana02.prd.es.mgh.reuter365.net,10.10.59.199,prd,
cluster01-kibana01.prd.es.mgh.reuter365.net,10.10.59.198,prd,
cluster01-kibana01.stg.es.mgh.reuter365.net,10.10.59.194,stg,
os-reutercom-01.prd.ws.acs.reuter365.net,10.51.30.142,prd,
cluster01-node03.stg.es.acs.reuter365.net,10.51.30.42,stg,
os-reutercom-02.prd.ws.acs.reuter365.net,10.51.30.143,prd,
os-reutercom-03.prd.ws.colo.reuter365.net,10.51.30.146,prd,
os-reuterde-01.prd.ws.acs.reuter365.net,10.51.30.140,prd,
os-reutercom-04.prd.ws.colo.reuter365.net,10.51.30.147,prd,
os-reuterde-02.prd.ws.acs.reuter365.net,10.51.30.141,prd,
os-reuterde-04.prd.ws.colo.reuter365.net,10.51.30.145,prd,
os-reuterde-03.prd.ws.colo.reuter365.net,10.51.30.144,prd,
cluster01-node01.prd.es.mgh.reuter365.net,10.10.59.195,prd,
cluster01-node02.prd.es.mgh.reuter365.net,10.10.59.196,prd,
cluster01-node03.prd.es.mgh.reuter365.net,10.10.59.197,prd,
cluster01-node01.stg.es.mgh.reuter365.net,10.10.59.190,stg,
cluster01-node02.stg.es.mgh.reuter365.net,10.10.59.191,stg,
cluster01-node03.stg.es.mgh.reuter365.net,10.10.59.192,stg,
nextcloud-gfs-01.prd.collab.mgh.reuter365.net,10.10.210.93,prd,
nextcloud-gfs-02.prd.collab.mgh.reuter365.net,10.10.210.92,prd,
collabora-01.prd.collab.mgh.reuter365.net,10.10.210.69,prd,
nextcloud-redis-01.prd.collab.mgh.reuter365.net,10.10.210.73,prd,
collabora-02.prd.collab.mgh.reuter365.net,10.10.210.70,prd,
nextcloud-mariadb-01.prd.collab.mgh.reuter365.net,10.10.210.76,prd,
nextcloud-01.prd.collab.mgh.reuter365.net,10.10.210.65,prd,
nextcloud-02.prd.collab.mgh.reuter365.net,10.10.210.66,prd,
cluster01-kibana02.prd.es.acs.reuter365.net,10.51.30.39,prd,
cluster01-kibana01.stg.es.acs.reuter365.net,10.51.30.43,stg,
cluster01-kibana01.prd.es.acs.reuter365.net,10.51.30.38,prd,
